Code	Description	LongDescription	InternalDescription	FeeCalcPreference	NonICIS	QualifierCode	GroupCode	Status	CreatedBy	CreatedDate	UpdatedBy	UpdatedDate
M0	MX VALUE	Maximum Value	NULL	131	NULL	NULL	MAXDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
M2	MX MO AV	Maximum Monthly Average	NULL	72	NULL	<=	MAXMON	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
M4	MOAV GEO	Monthly Average Geometric	NULL	NULL	NULL	<=	AVGMON	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
M5	MINIMUM 	Minimum (Data Migration)	NULL	NULL	NULL	>=	MINDA	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
M6	MAXIMUM 	Maximum (Data Migration)	NULL	NULL	NULL	<=	MAXDA	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MA	MAX BDL	Maximum Bdl	NULL	NULL	NULL	NULL	MAX	I	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
MB	MAXIMUM	Maximum	NULL	NULL	NULL	<=	MAXDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
ME	MINIMUM	Minimum	NULL	NULL	NULL	>=	MINDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MF	MN % RMV	Minimum Percent Removal	NULL	NULL	NULL	>=	MINDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MG	MN WK AV	Minimum Weekly Average	NULL	NULL	NULL	>=	MIN	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MH	MN 7D AV	Minimum 7 Day Average	NULL	NULL	NULL	>=	MIN	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MI	MN7DGEOA	Minimum 7 Day Geo. Ave	NULL	NULL	NULL	>=	MINMON	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MJ	MO AV MN	Monthly Average Minimum	NULL	NULL	NULL	>=	AVGMON	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MK	MO AVG	Monthly Average	NULL	11	NULL	<=	AVGMON	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
ML	MO GEO	Monthly Geometric	NULL	NULL	NULL	<=	AVGMON	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MM	MO GEOMN	Monthly Geometric Mean	NULL	NULL	NULL	>=	MINMON	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MN	MO MAX	Monthly Maximum	NULL	71	NULL	<=	MAXDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MO	MO MIN	Monthly Minimum	NULL	NULL	NULL	>=	MINDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MP	MO TOTAL	Monthly Total	NULL	NULL	NULL	NULL	VAL	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MQ	MX DA AV	Maximum Daily Average	NULL	NULL	NULL	<=	MAXDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MR	MX HR RT	Maximum Hourly Rate	NULL	NULL	NULL	NULL	MAX	I	1	2017-05-05 14:52:41.077	1	2017-05-05 14:52:41.077
MS	MX WK AV	Maximum Weekly Average	NULL	92	NULL	<=	MAX	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MT	MX 7D AV	Maximum 7 Day Average	NULL	NULL	NULL	NULL	AVGWK	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MTLTA	LONG TERM AVG	Long Term Average	NULL	NULL	Y	NULL	NULL	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MTLTAI	Intake LONG TERM AVG	Intake Long Term Average	NULL	NULL	Y	NULL	NULL	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MU	MX 7D GM	Maximum 7 Day Geometric	NULL	NULL	NULL	NULL	MAX	I	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
MV	MX7DGEOA	Maximum 7 Day Geo. Avg.	NULL	NULL	NULL	<=	MAXDA	A	1	2016-06-08 14:38:34.240	1	2016-06-08 14:38:34.240
